X,Y,OBJECTID,STATION_NAME,ADDRESS,NUMBER_OF_DOCKS,LATITUDE,LONGITUDE
-86.15043512218584,39.773837557673325,1,Athenaeum,401 E Michigan st,11,39.77383,-86.15043
-86.156505123214529,39.764817555711474,2,Bankers Life Fieldhouse,169 S Pennsylvania St,17,39.76481,-86.1565
-86.156315124265632,39.77803755815259,3,Central Library,40 E St Clair St,9,39.77803,-86.15631
-86.154165122728642,39.767227556271543,4,City County Building,200 E Washington St,14,39.76722,-86.15416
-86.152845122461244,39.768667556602132,5,City Market,108 N  Alabama St,22,39.76866,-86.15284
-86.162165124971452,39.765937555635382,6,Convention Center-Maryland and Capitol,50 S Capitol Ave,14,39.76593,-86.16216
-86.161615124667563,39.764237555350107,7,Convention Center at Georgia Street,151 W Georgia St,23,39.76423,-86.16161
-86.147005119930967,39.758937555103138,8,Fletcher Place - Virginia and Merrill,531 Virginia Ave,9,39.75893,-86.147
-86.145495119359282,39.757407554896822,9,Fletcher Place - Virginia and Norwood,749 Virginia Ave,11,39.7574,-86.14549
-86.139955117314059,39.752417554254464,10,Fountain Square,1066 Virginia Ave,13,39.75241,-86.13995
-86.16119512558744,39.776697557662779,11,Glick Peace Walk,625 N Capitol Ave,7,39.77669,-86.16119
-86.164745125850104,39.767377555771589,12,Indiana Government Center,364 W Washington St,9,39.76737,-86.16474
-86.175435129494417,39.773387556343778,13,IUPUI Campus Center,401 University Blvd,17,39.77338,-86.17543
-86.15260512269046,39.772247557272642,14,Mass Ave. and Alabama,372 N Alabama St,17,39.77224,-86.1526
-86.147275121474877,39.776437558309091,15,Mass Ave. and Park,680 Massachusetts Ave,11,39.77643,-86.14727
-86.169805127954959,39.77475755687658,16,Michigan and Blackford,525 N Blackford St,9,39.77475,-86.1698
-86.163485126050134,39.774187557086989,17,Michigan and Senate,300 N Michigan St,11,39.77418,-86.16348
-86.15736512380542,39.76885755641176,18,Monument Circle,121 Monument Circle,15,39.76885,-86.15736
-86.152175122848774,39.775647557919427,19,North and Alabama,605 N Alabama St,11,39.77564,-86.15217
-86.165905127398815,39.781797558365632,20,North End of Canal,1325 Canal Walk,9,39.78179,-86.1659
-86.142125120230077,39.779647559156182,21,North End of Mass Ave,949 Massachusetts Ave,11,39.77964,-86.14212
-86.166895126362931,39.765957555403197,22,Victory Field,99 S West St,19,39.76595,-86.16689
-86.160165124475014,39.767027555935606,23,Washington and Illinois,101 W Washington St,9,39.76702,-86.16016
-86.15832512394941,39.767207556060441,24,Washington and Meridian,2 W Washington St,11,39.7672,-86.15832
-86.170275127554518,39.768327555670588,25,White River State Park,650 S.Washington St,23,39.76832,-86.17027
