year,period,periodName,unemployed,labor.force,unemployment.rate,date
2007,M01,January,42783,915029,0.046755895168349854,2007-01-01T00:00:00Z
2007,M02,February,40234,916528,0.043898276975717056,2007-02-01T00:00:00Z
2007,M03,March,35709,914722,0.039038090261303435,2007-03-01T00:00:00Z
2007,M04,April,35541,909814,0.03906402847175357,2007-04-01T00:00:00Z
2007,M05,May,37476,909678,0.0411969949806415,2007-05-01T00:00:00Z
2007,M06,June,40670,915997,0.044399708732670524,2007-06-01T00:00:00Z
2007,M07,July,45135,926141,0.04873447995499605,2007-07-01T00:00:00Z
2007,M08,August,40110,916712,0.043754199792301184,2007-08-01T00:00:00Z
2007,M09,September,40045,917651,0.04363859462911281,2007-09-01T00:00:00Z
2007,M10,October,40653,921410,0.04412042413257942,2007-10-01T00:00:00Z
2007,M11,November,38571,923211,0.041779181573876396,2007-11-01T00:00:00Z
2007,M12,December,41132,923902,0.04451987331989757,2007-12-01T00:00:00Z
2008,M01,January,45210,926332,0.048805395905571654,2008-01-01T00:00:00Z
2008,M02,February,43761,927836,0.04716458512064632,2008-02-01T00:00:00Z
2008,M03,March,40279,926678,0.04346601516384332,2008-03-01T00:00:00Z
2008,M04,April,36341,924873,0.039292962385105844,2008-04-01T00:00:00Z
2008,M05,May,39829,923389,0.043133500615666856,2008-05-01T00:00:00Z
2008,M06,June,41526,927338,0.04477978903053687,2008-06-01T00:00:00Z
2008,M07,July,45309,937120,0.048349197541403446,2008-07-01T00:00:00Z
2008,M08,August,47118,935496,0.050366864208933014,2008-08-01T00:00:00Z
2008,M09,September,48225,934838,0.05158647808497301,2008-09-01T00:00:00Z
2008,M10,October,50665,939308,0.05393864419338492,2008-10-01T00:00:00Z
2008,M11,November,52658,937930,0.05614278251042189,2008-11-01T00:00:00Z
2008,M12,December,58018,938005,0.06185254876040106,2008-12-01T00:00:00Z
2009,M01,January,67719,932129,0.07264981563710603,2009-01-01T00:00:00Z
2009,M02,February,74356,937630,0.07930207011294434,2009-02-01T00:00:00Z
2009,M03,March,74739,933595,0.08005505599323047,2009-03-01T00:00:00Z
2009,M04,April,69936,928178,0.07534761651321191,2009-04-01T00:00:00Z
2009,M05,May,77788,929294,0.08370655572940318,2009-05-01T00:00:00Z
2009,M06,June,81631,932829,0.08750907186633348,2009-06-01T00:00:00Z
2009,M07,July,85163,944476,0.09016957551065352,2009-07-01T00:00:00Z
2009,M08,August,83967,938276,0.0894907255434435,2009-08-01T00:00:00Z
2009,M09,September,83259,928546,0.08966599393029533,2009-09-01T00:00:00Z
2009,M10,October,85349,929795,0.09179335229808722,2009-10-01T00:00:00Z
2009,M11,November,80328,925121,0.08682972281463722,2009-11-01T00:00:00Z
2009,M12,December,79457,919382,0.08642435897157004,2009-12-01T00:00:00Z
