year,period,periodName,value
2018,M12,December,33549
2018,M11,November,31331
2018,M10,October,33264
2018,M09,September,31848
2018,M08,August,34507
2018,M07,July,35083
2018,M06,June,34778
2018,M05,May,30345
2018,M04,April,32081
2018,M03,March,35920
2018,M02,February,38521
2018,M01,January,37836
2017,M12,December,33015
2017,M11,November,33764
2017,M10,October,36415
2017,M09,September,38097
2017,M08,August,41737
2017,M07,July,40888
2017,M06,June,37364
2017,M05,May,36606
2017,M04,April,34643
2017,M03,March,36796
2017,M02,February,41266
2017,M01,January,41674
2016,M12,December,36500
2016,M11,November,38262
2016,M10,October,43412
2016,M09,September,44127
2016,M08,August,45024
2016,M07,July,44775
2016,M06,June,41192
2016,M05,May,36958
2016,M04,April,38760
2016,M03,March,43110
2016,M02,February,44235
2016,M01,January,44438
2015,M12,December,40015
2015,M11,November,40693
2015,M10,October,40851
2015,M09,September,39243
2015,M08,August,42344
2015,M07,July,44764
2015,M06,June,43484
2015,M05,May,45431
2015,M04,April,43956
2015,M03,March,46184
2015,M02,February,50745
2015,M01,January,53109
2014,M12,December,46632
2014,M11,November,49981
2014,M10,October,50761
2014,M09,September,50652
2014,M08,August,56264
2014,M07,July,58531
2014,M06,June,55602
2014,M05,May,55733
2014,M04,April,52511
2014,M03,March,61256
2014,M02,February,64014
2014,M01,January,63128
2013,M12,December,59074
2013,M11,November,62811
2013,M10,October,68890
2013,M09,September,67343
2013,M08,August,69719
2013,M07,July,71508
2013,M06,June,70894
2013,M05,May,66438
2013,M04,April,62522
2013,M03,March,66462
2013,M02,February,72601
2013,M01,January,77153
2012,M12,December,68585
2012,M11,November,64693
2012,M10,October,70042
2012,M09,September,67489
2012,M08,August,72357
2012,M07,July,75703
2012,M06,June,75062
2012,M05,May,71546
2012,M04,April,67479
2012,M03,March,74035
2012,M02,February,78334
2012,M01,January,77005
2011,M12,December,71739
2011,M11,November,71080
2011,M10,October,72643
2011,M09,September,70321
2011,M08,August,69811
2011,M07,July,69236
2011,M06,June,68236
2011,M05,May,64528
2011,M04,April,62649
2011,M03,March,65238
2011,M02,February,70176
2011,M01,January,71727
2010,M12,December,66904
2010,M11,November,71318
2010,M10,October,71416
2010,M09,September,71859
2010,M08,August,73614
2010,M07,July,75957
2010,M06,June,73723
2010,M05,May,73986
2010,M04,April,76768
2010,M03,March,81408
2010,M02,February,84576
2010,M01,January,86257
2009,M12,December,79457
2009,M11,November,80328
2009,M10,October,85349
2009,M09,September,83259
2009,M08,August,83967
2009,M07,July,85163
2009,M06,June,81631
2009,M05,May,77788
2009,M04,April,69936
2009,M03,March,74739
2009,M02,February,74356
2009,M01,January,67719
