om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,fc,Year
613664,2016,3,24,2016-03-24,12:26:00,3,IN,18,0,0,0,0,75e3,0,41.37,-86.87,41.37,-86.87,0.09,50,0,2016
613665,2016,3,24,2016-03-24,12:30:00,3,IN,18,0,0,0,0,0,0,41.44,-86.73,41.44,-86.71,0.94,100,0,2016
613666,2016,3,24,2016-03-24,12:35:00,3,IN,18,0,0,0,0,0,0,41.44,-86.68,41.43,-86.67,0.51,50,0,2016
613687,2016,3,31,2016-03-31,14:40:00,3,IN,18,0,1,0,0,5e4,0,40.37,-86.84,40.37,-86.83,0.14,30,0,2016
613689,2016,3,31,2016-03-31,15:49:00,3,IN,18,0,1,0,0,0,0,41.41,-85.39,41.41,-85.38,0.51,30,0,2016
613690,2016,3,31,2016-03-31,15:56:00,3,IN,18,0,0,0,0,0,0,40.75,-86.98,40.77,-86.92,3.11,120,0,2016
613691,2016,3,31,2016-03-31,15:56:00,3,IN,18,0,1,0,0,0,0,40.81,-85.88,40.81,-85.87,0.74,60,0,2016
613758,2016,4,26,2016-04-26,16:38:00,3,IN,18,0,1,0,0,25e4,0,38.03,-87.64,37.99,-87.52,7.47,250,0,2016
613761,2016,4,26,2016-04-26,17:20:00,3,IN,18,0,0,0,0,15e3,0,39.09,-87.03,39.09,-87.03,0.08,75,0,2016
613820,2016,4,28,2016-04-28,14:26:00,3,IN,18,0,1,0,0,35e3,0,39.99,-86.31,39.99,-86.3,0.17,40,0,2016
613842,2016,5,1,2016-05-01,18:38:00,3,IN,18,0,0,0,0,0,0,40.17,-86.92,40.17,-86.92,0.01,25,0,2016
613852,2016,5,7,2016-05-07,18:20:00,3,IN,18,0,1,0,0,5e4,0,38.48,-87.15,38.47,-87.07,4.33,70,0,2016
613901,2016,5,11,2016-05-11,16:02:00,3,IN,18,0,1,0,0,5e3,0,38.27,-87.75,38.28,-87.73,1.48,25,0,2016
613902,2016,5,11,2016-05-11,16:58:00,3,IN,18,0,0,0,0,0,0,38.21,-87.29,38.21,-87.29,0.05,20,0,2016
614063,2016,6,4,2016-06-04,15:20:00,3,IN,18,0,0,0,0,1e3,0,40.09,-85.57,40.09,-85.57,0.02,40,0,2016
614065,2016,6,4,2016-06-04,16:25:00,3,IN,18,0,0,0,0,4e4,0,39.88,-84.96,39.9,-84.94,1.4,150,0,2016
614126,2016,6,22,2016-06-22,22:51:00,3,IN,18,0,1,0,0,0,0,40.8,-85.47,40.8,-85.42,2.4,200,0,2016
614127,2016,6,22,2016-06-22,22:57:00,3,IN,18,0,2,0,0,0,0,40.81,-85.44,40.78,-85.41,2.35,300,0,2016
614278,2016,8,15,2016-08-15,15:36:00,3,IN,18,0,1,0,0,18e3,0,39.68,-86.56,39.7,-86.54,1.83,500,0,2016
614279,2016,8,15,2016-08-15,15:56:00,3,IN,18,0,0,0,0,3500,2e3,40.52,-86.95,40.52,-86.94,0.51,40,0,2016
614280,2016,8,15,2016-08-15,16:06:00,3,IN,18,0,1,0,0,7500,0,39.85,-86.43,39.86,-86.43,0.42,100,0,2016
614281,2016,8,15,2016-08-15,16:15:00,3,IN,18,0,1,0,0,5e3,0,39.79,-86.42,39.79,-86.42,0.02,50,0,2016
614282,2016,8,15,2016-08-15,16:19:00,3,IN,18,0,0,0,0,5e3,0,39.92,-86.4,39.92,-86.4,0.01,40,0,2016
614283,2016,8,15,2016-08-15,16:27:00,3,IN,18,0,2,0,0,25e3,3e3,39.96,-86.34,40.01,-86.3,3.8,150,0,2016
614284,2016,8,15,2016-08-15,17:04:00,3,IN,18,0,1,0,0,1e4,2e3,40.14,-86.18,40.15,-86.17,0.42,100,0,2016
614285,2016,8,15,2016-08-15,18:17:00,3,IN,18,0,0,0,0,8e3,0,40.52,-85.87,40.52,-85.87,0.12,50,0,2016
614297,2016,8,20,2016-08-20,12:53:00,3,IN,18,0,0,0,0,0,0,41.37,-85.93,41.38,-85.9,1.6,10,0,2016
614299,2016,8,20,2016-08-20,13:19:00,3,IN,18,0,0,0,0,0,0,41.44,-85.74,41.44,-85.74,0.06,50,0,2016
614300,2016,8,20,2016-08-20,15:42:00,3,IN,18,0,0,0,0,0,0,41.16,-85.06,41.18,-85.02,2.38,70,0,2016
614308,2016,8,24,2016-08-24,12:38:00,3,IN,18,0,2,0,0,75e3,0,40,-86.87,40,-86.77,5.37,125,0,2016
614309,2016,8,24,2016-08-24,13:20:00,3,IN,18,0,3,20,0,1e7,0,40.46,-86.19,40.5,-86.03,8.63,300,0,2016
614310,2016,8,24,2016-08-24,14:18:00,3,IN,18,0,0,0,0,15e3,0,39.8,-86.11,39.8,-86.1,0.37,100,0,2016
614311,2016,8,24,2016-08-24,14:59:00,3,IN,18,0,0,0,0,0,0,40.61,-85.42,40.61,-85.42,0.04,20,0,2016
614312,2016,8,24,2016-08-24,15:27:00,3,IN,18,0,3,0,0,0,0,41.15,-84.92,41.2,-84.84,5.16,500,0,2016
614313,2016,8,24,2016-08-24,15:40:00,3,IN,18,0,1,0,0,57e3,2e3,40.53,-86.43,40.56,-86.11,17.06,100,0,2016
614314,2016,8,24,2016-08-24,15:49:00,3,IN,18,0,1,0,0,0,0,40.68,-85.02,40.73,-84.9,7.56,50,0,2016
614316,2016,8,24,2016-08-24,16:13:00,3,IN,18,0,0,0,0,0,0,40.77,-86.08,40.77,-86.08,0.06,20,0,2016
614322,2016,8,24,2016-08-24,16:58:00,3,IN,18,0,0,0,0,1e4,0,40.43,-86.12,40.43,-86.11,0.67,75,0,2016
614323,2016,8,24,2016-08-24,17:00:00,3,IN,18,0,1,0,0,2e4,5e3,40.4,-86.27,40.4,-86.24,1.5,50,0,2016
614325,2016,8,24,2016-08-24,17:16:00,3,IN,18,0,0,0,0,15500,0,40.4,-86.16,40.42,-86.1,2.95,75,0,2016
614398,2016,10,12,2016-10-12,16:26:00,3,IN,18,0,0,0,0,0,0,41.64,-86.3,41.66,-86.29,1.25,30,0,2016
614399,2016,10,12,2016-10-12,16:30:00,3,IN,18,0,0,0,0,0,0,41.67,-86.23,41.67,-86.23,0.05,40,0,2016
